name,alias,address,neighborhood,borough,begin_date,end_date,main1980s,mainSubcat,description,source,authors,sourceHyperlink
The Ladies' Fort,"Lady's Fort, 2 Bond Street",2 Bond Street (same building as NoHo Theater?),,,1973,,,,"â€œLocated near Studio Rivbea and situated in a basement, Ladies Fort [a loft jazz venue] was owned and operated by Joe Lee Wilson from 1973 to 1978, when it was sold to the bass player Hakim Jami. [Saxophonist] David Murray recorded there in June 1976.â€ù GroveNightclubs2016.","""Nightclubs and other venues."" The New Grove Dictionary of Jazz, 2nd ed. Grove Music Online. Oxford Music Online. Oxford University Press, accessed June 3, 2016, http://ezproxy.library.nyu.edu:4211/subscriber/article/grove/music/J330000pg38.",TB,
Levine's,Longview Country Club,232 Park Avenue South,Union Square,,1969,,,,"""Artist Les Levine has also opened a restaurant. Well, not quite a restaurant, but an 'autobiographical culinary environment.' This he did on the site of the old Longview Country Club with the owner of same, Mickey Ruskin of Max's Kansas City. The food, like Levine, is Irish-Jewish-Canadian. . . . Levine has provided the electrically-inspired stroke of placing five television cameras and eight monitors right in the center of all the Irish green and Israeli pale blue of the decor. This ploy makes everyone aware of everyone else, which is why a lot of people go to restaurants in the first place."" TwoToTry1969:45.","""Two to Try."" New York Magazine (April 7, 1969), 45.",TB,
The Local,The Locale,11 Waverly Place,,,1974,,,,Mickey Ruskin art bar.,,,
La Rocka Club,La Rocka Nite Club,113 Jane Street,,,,,,,3 Teens Kill 4 (band with David Wojnarowicz) played their first gig there in 1981. Carr2012:1970.,"Carr, Cynthia. Fire in the Belly: The Life and Times of David Wojnarowicz. New York: Bloomsbury, 2012.",TB,
LGBT Center,,208 West 13th Street,,,,,,,,,,
Life Cafe,,343 East Tenth Street,,,,,,,Coffeehouse with 'out' jazz. See Such 1993:90.,,,
Limbo,,647 East Ninth Street,,,,,,,,,,
Limbo Lounge,,339 East Tenth Street,,,,,,,Limbo Lounge opened as a nightclub and featured performances from punk bands to rappers. The club transitioned into a gallery eventually due to city regulations causing its lack of liquor license to be exposed and inability to procure one through legal means.,,SM,
The Limelight,,660 Sixth Avenue,,,1983,1990s,,,"Peter Gatien owned and ran a series of clubs called Limelight in Florida, Georgia, New York, and England. The New York location opened in November 1983 in a former Episcopal Church of the Holy Communion. During the 80s, Limelight was a disco and rock club and in the 90s became the place for techno, industrial, and goth music. Through the 90s, the club opened and closed several times until reopening as Avalon in September 2003 but then once again closed in 2007. Limelight now is a shopping center.",,SM,
Location One,,20 Greene Street,,,,,,,"Experimental-art gallery, replaced by Roulette. Dollar2006:14. ","Dollar, Steve. Jazz Guide: New York City. New York: Little Bookroom, 2006.",TB,
Loeb Student Center (New York University),,566 LaGuardia Place (Washington Square South),,,,,,,"The Loeb Student Center is mentioned as a regular performance space for Phillip Glass in Gendron, Downtown Book, 43",,,
The Loft,,647 Broadway,,,1970,1975,,,"Gay disco/dance party, started by David Mancuso and originally run out of his loft.",,,
The Loft,,99 Prince Street,,,1975,,,,,,,
"[Loft, studio, other]: Cage, John",,101 West 18th Street,,,,,,,,,,
"[Loft, studio, other]: Judd, Donald",,101 Spring Street,,,,,,,Phillip Glass played there,,,
"[Loft, studio, other]: Ono, Yoko",,112 Chambers Street,,,,,,,"Site of the first series of loft concerts in NYC, organized by La Monte Young, early 1960s.",,,
"Loisada, Inc.",,709 East Ninth Street,,,mid 1970s,,,,"Incorporated 1978. Opened at 709, moved to 710.",,,
"Loisada, Inc.",,710 East Ninth Street,,,,,,,,,,
M-13,,440 East Ninth Street,,,,,,,[TB: No good source found],,,
Mabou Mines,,150 First Avenue Number 2,,,,,,,"Mabou Mines is a collaborative, avant-garde theater company based in New York City. Founded in 1970, the company took its name from an old mining town in northern Nova Scotia, near where founding members JoAnne Akalaitis, Lee Breuer, Philip Glass, Ruth Maleczech, and David Warrilow, developed  The Red Horse Animation, the group's first original performance piece. Since then Mabou Mines has produced scores of plays, collaborated with well-known writers, musicians, visual artists, and filmmakers, garnered heaps of critical praise and awards, and performed around the globe, cementing its reputation as an innovative force in the theater world.",Fales Mabou Mines finding aid,SM,http://dlib.nyu.edu/findingaids/html/fales/mabou/
La Mama,"La Mama Experimental Theatre Club, La Mama E.T.C.",321 East Ninth Street,,,1961,1963,,,"Ellen Stewart founded La Mama Experimental Theatre Club in 1961 in her basement, and it became one of the most well-known off-off Broadway theatres. From its website, ""La MaMa is dedicated to the artist and all aspects of the theatre."" A boutique for her fashion creations during the day transformed into a performance space by night. Stewart's focus on playwrights allowed writers like Sam Shepard, Harvey Fierstein, Paul Foster, and Rochelle Owens to create new works. After having to relocate the theatre several times due to Building Department conflict, La Mama E.T.C. found a final and permanent home at 74A East 4th Street.",,SM,
La Mama,,82 Second Avenue,,,1963,1964,,,,,,
La Mama,,122 Second Avenue,,,1964,1969,,,,,,
La Mama,,"tbd (Saint Marks Place, Second floor)",,,,1969,,,transitional space,,,
La Mama,,74A East Fourth Street,,,1969,,,,,,,
La Mama,,66 East Fourth Street,,,,,,,,,,
La Mama Annex Theater,,,,,,,,,,,,
Marie's Crisis,,59 Seventh Avenue South,,,,,,,,,,
Mars,,2830 Tenth Avenue,,,,,,,[TB: Bar with gay disco nights. Note that this is not the same place as the Mars Bar. No good source found],,,
Max's Kansas City,,213 Park Avenue South,,,1965,1981,,,"Artists and sculptors frequented the first iteration of Max's when it was opened in 1965 by Mickey Ruskin. Ray Johnson, Allen Ginsberg, and Pattu Smith were just a few of the regulars. Andy Warhol and his friends also often came to Max's, and The Velvet Underground regularly performed there. The club became a central location for glam rock with performances by David Bowie, Iggy Pop, and New York Dolls. By the end of 1974 Max's closed due to a decline in popularity. After Ruskin's death in 1983, Tommy Dean Mills opened Max's II in 1975, and under the booking of Peter Crowley, it became a top punk venue until it closed in 1981. A brief third Max's opened in 1988 at 240 West 52nd Street.",,SM,
Meat,,,,,,,,,,,,
Meow Mix,,269 East Houston Street,,,,,,,,,,
Mercer Arts Center,Broadway Central Hotel,240 Mercer Street,,,1971,1973,,,"""Sy Kaback . . . had co-owned the Theater Cabaret, at 240 Mercer Street, since 1966. In early 1971 . . . he took the venue over from his partner, the Village Gate's Art D'Lugoff, and set about expanding the two lower floors, there at the back of the Broadway Central Hotel, into a very downtown version of Lincoln Center. . . . By early fall of 1971, he had renovated enough space to open up the Kitchen, a room intended for experimental art installations, and booked the pianist Michael Tschudin, who in turn brought by the band Messiah. . . . "" Now the site of NYU's Hayden Hall. [This quote is not complete; check print source]. Fletcher2009:309.","Fletcher, Tony. All Hopped Up and Ready to Go: Music from the Streets of New York, 1927-77. New York: W. W. Norton & Company, 2009.",TB,
Mercer Street Store,3 Mercer Street,3 Mercer Street,,,1972,1979,,,"""As the founder of two idiosyncratic, do-it-yourself art spaces and as an early member of the artist group Collaborative Project, Inc. (COLAB), Stefan Eins played a central role in shaking up the insular, overly-intellectualized art world of the 1970s in favor of a more socially-engaged, multi-cultural art with broader public appeal.  Einsâ€™ storefront at 3 Mercer Street (1972-79) pointedly called itself a store not a gallery, and encouraged artists to show low-priced art.  Fashion Moda (1978-93) was more radical.  Located in a dilapidated section of the South Bronx far removed from the traditional venues of fine art, this unlikely art space virtually forced downtown artists to move in populist directions and provided an opening for graffiti artists and others outside the mainstream to become part of the mix."" Miller2016.","Miller, Marc H. â€œStefan Eins: the Enigma Behind 3 Mercer Street and Fashion Moda, 1970-80.â€ù Gallery 98 website. Accessed June 10, 2016, http://gallery.98bowery.com/exhibition/stefan-eins-the-3-mercer-street-store-fashion-moda-1972-80/.",TB,
Le Metro,,149 Second Avenue,,,1963,,,,"""The poetry community in the Lower East Side became increasingly vital and strange when Maurice Margules's Le Metro coffeehouse opened . . . in March 1963. . . . A trajectory can be traced from the Tenth Street Coffeehouse to Les Deux MÃ©gots to Le Metro to, in the fall of 1966, the poetry project at St. Mark's Church. . . . It was here that the growing anarchic aura surrounding the poetry scene exploded as the Church became a social center for poets, friends of poets, junkies, intellectuals, college students, suburban day trippers [and] Young Lords. . . . New sounds like acid rock and LaMonte Young's aggressively dissonant Theater of Eternal Music were part of the neighborhood soundtrack. Pop-artist Andy Warhol rented the Polish National Social Hall at 23 St. Mark's Place and transformed it into the Electric Circus. Here Warhol debuted the Exploding Plastic Inevitable, where poet Gerard Malanga and 'superstar' Mary Woronov danced on stage to the music of the Velvet Underground. In early 1968, Bill Graham opened the Fillmore East, a performance space on Second Avenue where musicians including . . . proto-punk band the MC5 . . . could be heard."" Kane2010:195-196.","Kane, Daniel. â€œFrom Poetry to Punk in the East Village.â€ù In Cyrus R. K. Patel and Bryan Waterman, The Cambridge Companion to the Literature of New York, 189-201. New York: Cambridge University Press, 2010.",TB,
The Mineshaft,,835 Washington Street,,,,,,,Gay dance/sex club,,,
MK,,431 West Sixteenth Street,,,,,,,House music dance club.,,,
Mother,"The Bar (before 1997), Jackie 60",432 West Fourteenth Street,,,,,,,,,,
Motivations,,476 Broome Street,,,,,,,Jazz loft. See Kostelanetz2015.,,,
The Mudd Club,,77 White Street,,,1978,1983,,,"Opened in 1978, Talking Heads, Frank Zappa, Psychedelic Furs, fashion and theater events as well,  Mudd Club opened in 1978 and featured musical performances, theater, and fashion events. Talking Heads, Frank Zappa, and the Psychedelic Furs notably performed; punk, no wave, and new wave all had a place at the club. Debbie Harry, Lou Reed, and Jean-Michel Basquiat frequented the nightclub as it became a part of downtown culture. The club closed in 1983.",,SM,
Nature Morte,,204 East Tenth Street,,,1982,,,,"""Neither the graffiti and cartoon imagery of the Fun Gallery, the brash kitsch and funk assemblage of Gracie Mansion's stable [of artists], nor the guerilla punk of Civilian Warfare interested [Nature Morte co-founder Peter] Nagy. . . .The work that interested the Nature Morte partners was heavy in institutional critique, Postmodernist irony and New Feminism. . . . .Four galleries, four programs, but--despite some later attempts to label it so--no one East Village style."" Fensterstock2013:109.","Fensterstock, Ann. Art on the Block: Tracking the New York Art World from SoHo to the Bowery, Bushwick and Beyond. New York: St. Martin's Press, 2013.",TB,
Negril Club,,,,,,,,,"â€œAfrika Bambaataa drew New Wavers [into the downtown crossover world of rappers, turntablists, and white New Wavers] with his electronic-funk performances at the Mudd Club and Negril Club.â€ù Gendron2006:61.","Gendron, Bernard. â€œThe Downtown Music Scene.â€ù In Marvin Taylor, ed., The Downtown Book: The New York Art Scene, 1974-1984, 41-64. Princeton, N.J.: Princeton University Press, 2006.",TB,
Neither/Nor,,703 East Sixth Street,,,,,,,"Mentioned by Anthony Coleman as an important performance space for music, & ""the only standing building on the block."" See Kent's photo of Anthony's 1984 Improvisers' Network newsletter.",,,
Nell's,,246 West Fourteenth Street,,,1986,2004,,,"Dance club: disco, new wave, then hip hop.",,,
Neighborhood Playhouse,"Abron Arts Center, Henry Street Playhouse, Henry Street Settlement, Henry Street Settlement House, Playhouse ",466 Grand Street,,,1975,,,,"Adjacent to the Abron Arts Center and part of the Henry Street Settlement (founded 1893). ""The performing arts program [at the Playhouse] inherits the century-long legacy of the Neighborhood Playhouse, where some of the most adventurous artists have trained, taught or performed, including Laurie Anderson, John Cage, Aaron Copland, Dizzy Gillespie, Martha Graham, Philip Glass, Alicia Keyes, Alwin Nikolais, Lou Reed, Denzel Washington and Orson Welles."" Abron2016.","""Abron Arts Center/Henry Street Settlement."" Accessed June 8, 2016, http://www.nyc-arts.org/organizations/98/abrons-arts-center.",TB,
New Math,,East Twelfth Street,,,,,,,"""[In 1981] the first new East Village enterprise was set up by Bill Stelling . . . and Patti Astor . . . . Next came a young woman who . . . renamed herself Gracie Mansion. . . . At [Astor's] suggestion, Stelling called his establishmend the Fun Gallery. . . . Soon the East Village was covered with galleries bearing such names as New Math, Civilian Warfare, Ex Voto, Nature Morte, Postmasters, Vox Populi, Semaphore East, Nolo Contendre, International with Monument and Ground Zero."" Goldstein2000:209.","Goldstein, Malcolm. Landscape with Figures: A History of Art Dealing in the United States. New York: Oxford University Press, 2000.",TB,
New Math,,206 Avenue A,,,1983,1986,,,"Art gallery founded in 1983 by Nina Seigenfeld Velazquez and Mario Fernandez, closed in 1986.",,SM,
The New Museum,The New Museum of Contemporary Art,tbd (New School for Social Research on Fifth Avenue),,,1977,1983,,,"""Intending to remedy the neglect of living artists by museums in New York, former Whitney curator Marcia Tucker founded The New Musuem (TNM). . . . Tucker's concept was modeled after the German Kunsthalle, which [had] no parallel in the United States."" Ault2002: 49.","Ault, Julie. Alternative Art, New York, 1965-1985: A Cultural Politics Book for the Social Text Collective. Minneapolis: University of Minnesota Press, 2002.",TB,
The New Museum,,583 Broadway,,,1983,2007,,,,,,
The New Museum,,235 Bowery,,,2007,,,,"Founded by Marcia Tucker, a curator at the Whitney, on January 1, 1997, The New Museum wanted to provide contemporary artists with the same attention and appreciation that museums placed on older art. Artists still alive were shown in order to make their work known to a wider audience. The small staff works in an office at New Yorkâ€™s Fine Arts Building at 105 Hudson Street while presenting exhibits offsite, eventually moving to 65 Fifth Avenue for a combined office and exhibition space. In 1979 the museum moved to 583 Broadway and continued to grow exhibition space through negotiations and renovations in the building.  The following year, The New Museum started the High School Art Program (now the Visible Knowledge Program) to integrate at-risk teenagers with contemporary art. In 2002, The New Museum announced its plans to build a new location at 235 Bowery and opened in 2007.",,SM,
New Ohio Theatre,,154 Christopher Street,,,,,,,,,,
New Rican Village,Nuyorican Village,101 Avenue A Number 1,,,1976,,,,"""Eddia Figueroa [was] a conceptual artist and director of plays who had been the driving force behind New Rican Village, a space down the block from the Nuyorican Poets CafÃ© in New York's East Village. Figueroa was a disaffected Young Lord who felt betrayed by the group's revolutionary dreams. . . . [His] grounding in the arts and the spiritual represented what was missing from the Young Lords. In what is now the Pyramid Club on Avenue A, Figueroa's great experiment was a showcase for the cutting edge in Puerto Rican theater, music, and poetry, featuring names like Puerto Rican Traveling Theater director Miriam ColÃ_n, Latin-jazz pioneer Jerry Gonzalez, and poet Pedro Pietri."" Morales2002:90.","Morales, Ed. Living in Spanglish: The Search for Latino Identity in America. New York: St. Martin's Griffin, 2002.",TB,
The New School,,66 West Twelfth Street,,,,,,,,,,
New York Feminist Art Institute,,"325 Spring Street, Port Authority Building",,,1979,1981,,,,,,
New York Feminist Art Institute,,Franklin Street,,,1981,1990,,,,,,
New York Musicians' Jazz Festival,,various (see description),,,,1972 (June 30-July 9),,,"""Jazz concerts are being held by musicians at these locations by musicians who are not participating in the Newport Jazz Festival."" Locations included: Apollo Theater, Forest Park Music Grove, Free Life Communications, Harlem Music Center, Slug's, Studio Museum, Studio Rivbea, Studio We, University of the Streets. NYMag1972:14; Heller2015:21-24.","New York Magazine (Jul 3, 1972), 14; Heller, Michael. ""Complaining Time is Over': Network and Collective Strategies of the New York Musicians' Organization. In Nicholas Gebhardt and Tony Whyton, eds., The Cultural Politics of Jazz Collectives: This is Our Music, 16-41. New York: Routledge, 2015.",TB,
New York University of the Streets,Free Conservatory,130 East Seventh Street,,,1969,,,,"Founded as ""an educational alternative established in the Lower East Side that offered classes to adults at community centers and helped them get into college."" Hernandez1997:77. Bill Dixon founded the Free Conservatory at the New York University of the Streets in 1967.","HernÃ¡ndez, Carmen Dolores. Puerto Rican Voices in English: Interviews with Writers. Westport, Conn.: Praeger Publishers, 1997.",TB,
Niagra's,A-7,,,,,,,,See A-7,,,
Nico Smith,,339 East Tenth Street,,,,,,,[TB: Is this a reference to a gallery exhibit by painter Nico Smith? or to his home studio?],,,
NoHo Playhouse,2 Bond Street,2 Bond Street (same building as Ladies' Fort?),,,,,,,[TB: No good source found.],,,
Nolo Contendere,,520 East Eleventh Street,,,,,,,[TB: No good source found. What is this? Difficult to search due to name.],,,
Now,Now Gallery,430 East Ninth Street,,,1983,1989,,,[TB: East Village gallery that was the first (?) to exhibit graffiti art; collaborated with Fashion Moda and Fun Gallery. No good source found.],,,
Nuyorican Poets Cafe,,236 East Third Street,,,,,,,"The Nuyorican Poets CafÃ© was founded by Miguel AlgarÃ_n, Miguel â€˜Mickyâ€™ PiÃ±ero , and Lucky Cienfuegos in 1973 to provide a site for the Nuyorican cultural movement. The term Nuyorican was was initially a slur against Puerto Ricans that had settled in New York City was reclaimed in the late 1960s as part of a growing movement of poets, playwrights, and authors. The first two Nuyorican Poets CafÃ©'s were on East 6th Street; the first in AlgarÃ_n's living room and the second in an Irish Pub called the Sunshine CafÃ©.  In 1983 the cafÃ© moved to its current location at 236 East 3rd Street but was forced to close one year later. AlgarÃ_n re-opened the Nuyorican Poets CafÃ© in 1988, acting on a suggestion by Bob Holman on the day on PiÃ±ero's funeral. The cafÃ© is still open today.",,SM,
Nuyorican Village,New Rican Village,,,,,,,,See New Rican Village,,,
The Ocean Club,Lower Manhattan Ocean Club,121 Chambers Street,TriBeCa,,1976,1977,,,Mickey Ruskin venue.,,,
The Odeon,Odeon Restaurant,145 West Broadway,,,,,,,,,,
Ohio Theater,,,,,,,,,,,,
O.K. Harris,,465 West Broadway,,,1969,,,,See Fensterstock2013:48.,,,
oldest italian restaurant in Soho,,,,,,,,,[TB: reference from Marvin and Sana?],,,
One Stop,,601 East Eleventh Street,,,,1973,,,,,,
One University Place,,1 University Place,,,1977?,1983,,,Mickey Ruskin art bar,,,
Ontological-Hysteric Theatre,,51 Wooster Street,,,1968,1975,,,"""In 1968, avant-garde dramatist Richard Foreman developed his impenetrably dense stage texts in his SoHo loft at 51 Wooster Street. Starting what he would ultimately name the Ontological-Hysteric Theater, Foreman self-produced many of his early works and staged them at Jonas Mekas's Film-Makers CinÃ©matheque on the ground floor of Fluxus artist George Maciunas's first co-op building at 80 Wooster Street. In 1975 Foreman was able to move the theater into its own premises in a loft at 491 Broadway, just north of Broome Street."" Fensterstock2013:33.","Fensterstock, Ann. Art on the Block: Tracking the New York Art World from SoHo to the Bowery, Bushwick and Beyond. New York: St. Martin's Press, 2013.",TB,http://dlib.nyu.edu/findingaids/html/fales/rforeman/
Ontological-Hysteric Theatre,,80 Wooster Street,,,1968,1975,,,,,,
Ontological-Hysteric Theatre,,491 Broadway,,,1975,1992,,,,,,
Ontological-Hysteric Theatre,,"131 East Tenth Street, Saint Marks Church",,,1992,,,,,,,
Oscar Wilde Room,Mercer Arts Center,"240 Mercer Street, Mercer Arts Center",,,1972,1972,,,The New York Dolls played a four-month residency (typically described as 'legendary') on Tuesday nights at the Oscar Wilde Room (in the Mercer Arts Center) from June to October 1972.,,TB,
The Open Door,,West Third Street and Washington Square South,,,,,,,,,,
The Other End,,Macdougal Street,,,,,,,"The Patti Smith group performed here for the first time with a drummer. See Smith, Just Kids, 248.",,,
P.P.O.W.,,216 East Tenth Street,,,,,,,,,,
The Palladium,Academy of Music,126 East Fourteenth Street,,,1976,1997,,,"The Palladium, formerly known as the Academy of Music, was a concert hall that transitioned into a night club in New York City. Located at East 14th Street, it served as a ""hot spot"" that catered to the downtown ""new wave music"" movement. From its opening in May 1985 through the end of the 1980s, Palladium was reserved as one of the major features in the New York club scene, providing a venue for varied events, ranging from live performances and parties to cultural exhibitions and publication celebrations.",Fales Palladium Flyers finding aid,SM,http://dlib.nyu.edu/findingaids/html/fales/palladium/
Paradise Garage,,84 King Street,,,1976,1987,,,"""Open from 1976 to 1987, the Paradise Garage may well have been the most influential nightclub worldwide, especially during its heyday in the early 1980s. It was a dance mecca to a group of loyal regulars, most of them gay and African American, who came every Saturday to pay homage to Larry Levan, the resident DJ, regarded as one of the most influential figures in underground dance music. Levan's eclectic style as DJ, and, later, re-mixer, influenced a generation of younger DJ's."" Fikentscher2000:70.","Fikentscher, Kai. â€ùYou Better Work!"": Underground Dance Music in New York City. Middletown, Conn.: Wesleyan University Press, 2000.",TB,https://getit.library.nyu.edu/resolve?&ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&ctx_tim=2016-07-26T13%3A23%3A11IST&url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&rfr_id=info:sid/primo.exlibrisgroup.com:primo-nyu_aleph001650105&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=book&rft.jtitle=&rft.btitle=%22You+better+work%21%22+%3A+underground+dance+music+in+New+York+City&rft.aulast=Fikentscher&rft.aufirst=Kai.&rft.auinit=&rft.auinit1=&rft.auinitm=&rft.ausuffix=&rft.au=Fikentscher%2C+Kai&rft.aucorp=&rft.volume=&rft.issue=&rft.part=&rft.quarter=&rft.ssn=&rft.spage=&rft.epage=&rft.pages=&rft.artnum=&rft.pub=Wesleyan+University+Press+published+by+University+Press+of+New+England&rft.place=Hanover&rft.issn=&rft.eissn=&rft.isbn=0819564036&rft.sici=&rft.coden=&rft_id=info:doi/&rft.object_id=&rft.primo=nyu_aleph001650105&rft.eisbn=&rft_dat=%3Cnyu_aleph%3E001650105%3C/nyu_aleph%3E%3Cgrp_id%3E60962033%3C/grp_id%3E%3Coa%3E%3C/oa%3E&rft_id=info:oai/&req.language=eng
Park Place Gallery,Park Place Group,542 West Broadway,,,1965,1967,,,"Important, early artist-run cooperative gallery, early SoHo. See Fensterstock2013:46.",,,
Patricia Field,Patricia Field store,10 East Eighth Street,,,1971,,,,"punk, drag, downtown fashion boutique",,,
Patricia Field,,302 Bowery,,,,2012?,,,,,,
Patricia Field,,306 Bowery,,,2012?,2016?,,,,,,
Paula Cooper Gallery,,98-100 Prince Street (listed elsewhere as 96 Spring Street),,,1968,1973,,,"The first of the [commercial] Soho art galleries; opened 1968, moved to Chelsea in 1996. A regular host for experimental music, especially for the S.E.M. Ensemble.",See Fensterstock2013:46 and following.,SM,
Paula Cooper Gallery,,"155 Wooster Street, same building as Artists Space",,,1973,,,,,,,
Paulo Salvador,,216 East Tenth Street,,,,,,,,,,
The Peace Eye Bookstore,,147 Avenue A,,,,,,,"""The poet Ed Sanders ran the Peace Eye Bookstore. It was one part bookstore, one part crash pad, one part publishing house. . . . [Ed Sanders:] 'I would print anything [on the mimeograph machine]. All the street leaflets, and flyers, and little books of poetry. Anybody could use my equipment.' In 1966, Sanders was arrested on obscenity charges for publishing a journal whose very name, no doubt, attracted the attention of the authorities. It was called, Fuck You: A Magazine of the Arts.' In spite of legal and financial problems, the underground press in the East Village thrived, thanks in part to a new technology: the mimeograph machine. . . . [Daniel Kane:] 'You're a writer on the Lower East Side, and . . . you're reading your poems out loud in these cafes. And you're sending your poems out to the Kenyon Review, and they keep on rejecting it. So what do you do? You publish yourself. . . . thanks to the technology of this machine. . . at the end of the evening you have a journal. And you go to Ed Sanders' Peace Eye Bookstore, and before you know it, the most innovative writers in New York are reading your work, and you're becoming part of their world.'"" PassingStranger2016. Cf. Kane2003.","Passing Stranger: The East Village Poetry Walk. Produced by Pejk Malinovski. Accessed July 15, 2016, http://eastvillagepoetrywalk.org/about.html. Cf. Kane, Daniel. All Poets Welcome: The Lower East Side Poetry Scene in the 1960s. Berkeley: University of California Press, 2003.",TB,
Peppermint Lounge,,100 Fifth Avenue,,,,,,,"Peppermint Lounge opened in 1958 at 128 West 45th. It became the center of The Twist craze and drew celebrities such as Jacqueline Kennedy, Audrey Hepburn, Truman Capote, Liberace, and Greta Garbo from 1960-1961. The movie ""Hey, Let's Twist"" filmed at the venue and made it a renown club. The Beach Boys, The Isley Brothers, Liza Minnelli, and The Four Seasons all performed at Peppermint Lounge. It closed in 1965 and then was revived in 1980 by Frank Roccio and Tom Goodkind as a nightclub. Artists from both the rock and hip hop scenes, like Billy Idol and Grandmaster Flash and the Furious Five, performed at the club, and the venue drew VIP guests Mick Jagger and David Bowie. Peppermint Lounge moved to 100 5th Ave in 1982 before closing in 1985.",,SM,
The Performing Garage,,33 Wooster Street,,,,,,,"The Performing Garage is ""an off-off-Broadway theater that has played an important role in New York theatrical history. [It] was acquired in 1968 by Richard Schechter, the founder and director of an experimental theater company known as the Performance Group [which] developed and produced new theatrical works there for thirteen years."" PommerWinters2012:[n.p.].",,TB,
Performance Space 122,,150 First Avenue,,,,,,,"Charles Dennis, Tim Miller, Charles Moulton, and Peter Rose founded Performance Space 122 in an abandoned public school building in 1980. Mark Russell was hired in 1983 to curate the programming. P.S. 122 hosts performances, classes, and workshops while also continuing to grow and expand as it recieves renovations and repairs. Eric Bogosian, Karen Finley, John Leguizamo, and Blue Man Group performed at the space early in their careers and still continue to provide programming. ",,SM,
Phebe's,,359 Bowery,,,,,,,,,,
Pictogram,,443 East Ninth Street,,,,,,,,,,
Pier 34,,Pier 34,,,1983,1983,,,"""In 1983, a group of artists led by David Wojnarowicz and Mike Bidlo took over Pier 34 at the end of the Canal Street and made it an extension of the East Village scene. Andreas Sterzingâ€™s remarkable photographs of the various projects realized there by artists included those by Louis Frangella, John Fekner, David Finn, and Judy Glantzman. They display a marvelous sense of freedom and community. Richard Goldstein wrote of Pier 34 that a visitor 'might imagine himself stumbling upon the museum of a civilization long ago forgottenâ€”or one that had forgotten about art.' In an unintentional replay of the opening of Gordon Matta-Clarkâ€™s Dayâ€™s End, the artists of Pier 34 staged a reception on the pier in June of 1983 that was shut down by the police."" Weinberg2002.","Weinberg, Jonathan. â€œCity-Condoned Anarchy.â€ù The Piers: Art and Sex along the New York Waterfront, Leslie Lohman Museum of Gay and Lesbian Art. Exhibit catalog. Accessed June 10, 2016, https://leslielohman.org/exhibitions/2012/the-piers-2.html.",TB,http://dlib.nyu.edu/findingaids/html/fales/woj/
The piers,,,,,,,,,"One site of Wigstock, among other things (check re: specific pier). Cf. Pier 34.",,,
Piezo Electric,,200 Avenue A,,,1983,1987,,,Opened in March 1983 and closed in 1987.,,SM,
Players Theater,,MacDougal Street,,,,,,,Early 1970s: The Fugs played there seven nights a week (needs verification). See http://www.denofgeek.com/us/tv/vinyl/252605/real-vinyl-history-the-mercer-arts-center-collapsed-43-years-ago-today,,,
Pleiades Gallery,,530 West 25th Street,,,,,,,,,,
(Le) Poisson Rouge,,158 Bleecker Street,,,2008,,,,,,,
Polyester,Polyester's,1487 First Avenue,,,,,,,"Dance club,",,,
Pop Shop,,292 Lafayette Street,,,1986,,,,Keith Haring's retail outlet for affordable art.,,,
Postmasters,,66 Avenue A,,,,,,,,,,
PS1,,Long Island City,,Queens,1976,1970s,,,"Alanna Heiss's space for contemporary art, installations and site-specific work under the auspices of her Institute for Art and Urban Resources, originally installed in the Clocktower Building.",,TB,
The Pyramid Club,,101 Avenue A Number 1,,,,,,,"The Pyramid Club began as a standard dive bar, but evolved into the epicenter of a diverse underground art and performance scene under the attentions of Bobby Bradley, Alan Mace and Victor Sapienza. All three men were employees at the nightclub Interferon, and were later joined by Brian Butterick, who had been an employee at Mudd Club. It opened officially as a nightclub in December of 1981 and continues to operate today, largely as a throwback 80â€™s dance club. Home to many of the most well known drag performers of the time, such as Lady Bunny and Ethyl Eichelberger, Pyramid was also a cornerstone in the neighborhoodâ€™s LGBT community. In addition to performance, the club hosted art exhibitions, film screenings and live readings by artists like Lydia Lunch and David Wojnarowicz. It hosted a number of films emerging from the No Wave and Cinema of Transgression scenes.",Fales Pyramid Club finding aid,SM,http://dlib.nyu.edu/findingaids/html/fales/pyramid/
RAPP Arts Center,,220 East Fourth Street,,,,,,,Original home of Bang on a Can Festival.,,,
Real Estate Show,,123 Delancey Street,,,,,,,[See entry for Colab],,,
The Red Parrot,,617 West Fifty-seventh Street,Hell's Kitchen,,,,,,Disco,,,
